media_id,poi_id,file_path,media_role,alt_text,label_class,dataset_split,width_px,height_px,capture_conditions,updated_at
pmd_0b964ba7,poi_7f6561ec,media/poi/poi_7f6561ec/0.jpg,landmark,Jaipur Bazaar in Jaipur,jaipur_bazaar,train,1280,960,crowded,2026-08-18T10:00:00+05:30
pmd_c5494546,poi_7f6561ec,media/poi/poi_7f6561ec/1.jpg,landmark,Jaipur Bazaar in Jaipur,jaipur_bazaar,train,1280,960,dusk,2026-08-18T10:00:00+05:30
pmd_95d42b2a,poi_afcb7beb,media/poi/poi_afcb7beb/0.jpg,landmark,Chhatri Complex in Jaipur,chhatri_complex,train,1280,960,crowded,2026-08-18T10:00:00+05:30
pmd_2641a7b2,poi_afcb7beb,media/poi/poi_afcb7beb/1.jpg,landmark,Chhatri Complex in Jaipur,chhatri_complex,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_dbfdcf66,poi_bf6716e9,media/poi/poi_bf6716e9/0.jpg,landmark,Zipline Point in Jaipur,zipline_point,train,1280,960,crowded,2026-08-18T10:00:00+05:30
pmd_8f3e4f76,poi_bf6716e9,media/poi/poi_bf6716e9/1.jpg,landmark,Zipline Point in Jaipur,zipline_point,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_e5ccbaa2,poi_e68abae6,media/poi/poi_e68abae6/0.jpg,landmark,Jaipur Bazaar in Jaipur,jaipur_bazaar,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_9c34d613,poi_e68abae6,media/poi/poi_e68abae6/1.jpg,landmark,Jaipur Bazaar in Jaipur,jaipur_bazaar,eval,1280,960,,2026-08-18T10:00:00+05:30
pmd_fdfbeaca,poi_fe8a867b,media/poi/poi_fe8a867b/0.jpg,landmark,Jaipur Fort in Jaipur,jaipur_fort,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_8907ede9,poi_fe8a867b,media/poi/poi_fe8a867b/1.jpg,landmark,Jaipur Fort in Jaipur,jaipur_fort,train,1280,960,dusk,2026-08-18T10:00:00+05:30
pmd_ce071b34,poi_c192ae9d,media/poi/poi_c192ae9d/0.jpg,landmark,Handloom Cooperative in Jaipur,handloom_cooperative,train,1280,960,indoor,2026-08-18T10:00:00+05:30
pmd_f14cfe9b,poi_c192ae9d,media/poi/poi_c192ae9d/1.jpg,landmark,Handloom Cooperative in Jaipur,handloom_cooperative,train,1280,960,indoor,2026-08-18T10:00:00+05:30
pmd_3cf3eb68,poi_cd4eb948,media/poi/poi_cd4eb948/0.jpg,landmark,Night Food Bazaar in Jaipur,night_food_bazaar,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_c913e8d2,poi_cd4eb948,media/poi/poi_cd4eb948/1.jpg,landmark,Night Food Bazaar in Jaipur,night_food_bazaar,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_eda762b1,poi_443a14c5,media/poi/poi_443a14c5/0.jpg,landmark,Coffee Roastery Tour in Jaipur,coffee_roastery_tour,train,1280,960,crowded,2026-08-18T10:00:00+05:30
pmd_e4df44ca,poi_443a14c5,media/poi/poi_443a14c5/1.jpg,landmark,Coffee Roastery Tour in Jaipur,coffee_roastery_tour,train,1280,960,dusk,2026-08-18T10:00:00+05:30
pmd_8f1f6edd,poi_364cac5a,media/poi/poi_364cac5a/0.jpg,landmark,Jaipur Bazaar in Jaipur,jaipur_bazaar,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_3c9c9fed,poi_364cac5a,media/poi/poi_364cac5a/1.jpg,landmark,Jaipur Bazaar in Jaipur,jaipur_bazaar,eval,1280,960,,2026-08-18T10:00:00+05:30
pmd_2bd91bad,poi_5252b3dc,media/poi/poi_5252b3dc/0.jpg,landmark,Coffee Roastery Tour in Jaipur,coffee_roastery_tour,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_3a2a760b,poi_5252b3dc,media/poi/poi_5252b3dc/1.jpg,landmark,Coffee Roastery Tour in Jaipur,coffee_roastery_tour,train,1280,960,dusk,2026-08-18T10:00:00+05:30
pmd_feffcc17,poi_01f1e4a6,media/poi/poi_01f1e4a6/0.jpg,landmark,Museum of Coins in Jaipur,museum_of_coins,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_dbf1700a,poi_01f1e4a6,media/poi/poi_01f1e4a6/1.jpg,landmark,Museum of Coins in Jaipur,museum_of_coins,train,1280,960,daylight,2026-08-18T10:00:00+05:30
pmd_5098b100,poi_43837046,media/poi/poi_43837046/0.jpg,landmark,Riverside Lounge in Jaipur,riverside_lounge,train,1280,960,daylight,2026-08-18T10:00:00+05:30
pmd_49d7c528,poi_43837046,media/poi/poi_43837046/1.jpg,landmark,Riverside Lounge in Jaipur,riverside_lounge,eval,1280,960,dusk,2026-08-18T10:00:00+05:30
pmd_21c1fae3,poi_58124e0f,media/poi/poi_58124e0f/0.jpg,landmark,Textile Museum in Jaipur,textile_museum,train,1280,960,indoor,2026-08-18T10:00:00+05:30
pmd_72289a9b,poi_58124e0f,media/poi/poi_58124e0f/1.jpg,landmark,Textile Museum in Jaipur,textile_museum,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_d0e1fa48,poi_0b3e375a,media/poi/poi_0b3e375a/0.jpg,landmark,Hot Springs in Jaipur,hot_springs,train,1280,960,daylight,2026-08-18T10:00:00+05:30
pmd_81b40af7,poi_0b3e375a,media/poi/poi_0b3e375a/1.jpg,landmark,Hot Springs in Jaipur,hot_springs,train,1280,960,crowded,2026-08-18T10:00:00+05:30
pmd_11e7b0a1,poi_18f08d29,media/poi/poi_18f08d29/0.jpg,landmark,Royal Cenotaphs in Jaipur,royal_cenotaphs,train,1280,960,crowded,2026-08-18T10:00:00+05:30
pmd_abd9cad8,poi_18f08d29,media/poi/poi_18f08d29/1.jpg,landmark,Royal Cenotaphs in Jaipur,royal_cenotaphs,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_c447a2c3,poi_39c95ec6,media/poi/poi_39c95ec6/0.jpg,landmark,Blue Pottery Workshop in Udaipur,blue_pottery_workshop,train,1280,960,dusk,2026-08-18T10:00:00+05:30
pmd_7f1d4ec8,poi_39c95ec6,media/poi/poi_39c95ec6/1.jpg,landmark,Blue Pottery Workshop in Udaipur,blue_pottery_workshop,eval,1280,960,,2026-08-18T10:00:00+05:30
pmd_9382a14a,poi_c0128d7d,media/poi/poi_c0128d7d/0.jpg,landmark,Udaipur Street Food Lane in Udaipur,udaipur_street_food_lane,train,1280,960,daylight,2026-08-18T10:00:00+05:30
pmd_2aa69c0b,poi_c0128d7d,media/poi/poi_c0128d7d/1.jpg,landmark,Udaipur Street Food Lane in Udaipur,udaipur_street_food_lane,eval,1280,960,indoor,2026-08-18T10:00:00+05:30
pmd_b0d9ef5e,poi_78eecc44,media/poi/poi_78eecc44/0.jpg,landmark,Coffee Roastery Tour in Udaipur,coffee_roastery_tour,train,1280,960,,2026-08-18T10:00:00+05:30
pmd_37ed0720,poi_78eecc44,media/poi/poi_78eecc44/1.jpg,landmark,Coffee Roastery Tour in Udaipur,coffee_roastery_tour,train,1280,960,,2026-08-18T10:00:00+05:30
