matrix_id,origin_poi_id,dest_poi_id,mode,minutes,distance_km,carbon_kg,cost,currency,bearing_deg,updated_at
ptm_d526df68,poi_7f6561ec,poi_afcb7beb,walk,27,1.981,0,0.00,INR,135,2026-08-18T10:00:00+05:30
ptm_b803a9e7,poi_7f6561ec,poi_afcb7beb,cab,11,1.981,0.339,61.67,INR,135,2026-08-18T10:00:00+05:30
ptm_4396519f,poi_7f6561ec,poi_bf6716e9,cab,41,11.499,1.966,223.48,INR,306,2026-08-18T10:00:00+05:30
ptm_794da684,poi_7f6561ec,poi_e68abae6,cab,23,5.73,0.98,125.40,INR,275,2026-08-18T10:00:00+05:30
ptm_5c3fd85d,poi_7f6561ec,poi_fe8a867b,cab,25,6.634,1.134,140.77,INR,302,2026-08-18T10:00:00+05:30
ptm_c461333d,poi_7f6561ec,poi_c192ae9d,cab,32,8.666,1.482,175.31,INR,239,2026-08-18T10:00:00+05:30
ptm_cb680514,poi_7f6561ec,poi_cd4eb948,cab,21,5.226,0.894,116.84,INR,94,2026-08-18T10:00:00+05:30
ptm_0d124233,poi_7f6561ec,poi_443a14c5,cab,20,4.776,0.817,109.19,INR,52,2026-08-18T10:00:00+05:30
ptm_bd2eff2c,poi_7f6561ec,poi_364cac5a,cab,25,6.631,1.134,140.72,INR,122,2026-08-18T10:00:00+05:30
ptm_17749a68,poi_7f6561ec,poi_5252b3dc,cab,40,11.351,1.941,220.96,INR,323,2026-08-18T10:00:00+05:30
ptm_3f5ea010,poi_afcb7beb,poi_7f6561ec,walk,27,1.981,0,0.00,INR,315,2026-08-18T10:00:00+05:30
ptm_1d2a8074,poi_afcb7beb,poi_7f6561ec,cab,11,1.981,0.339,61.67,INR,315,2026-08-18T10:00:00+05:30
ptm_cb29e93b,poi_afcb7beb,poi_bf6716e9,cab,47,13.46,2.302,256.82,INR,308,2026-08-18T10:00:00+05:30
ptm_b745d093,poi_afcb7beb,poi_e68abae6,cab,28,7.352,1.257,152.99,INR,285,2026-08-18T10:00:00+05:30
ptm_82ecd957,poi_afcb7beb,poi_fe8a867b,cab,32,8.577,1.467,173.80,INR,305,2026-08-18T10:00:00+05:30
ptm_750b2a34,poi_afcb7beb,poi_c192ae9d,cab,34,9.357,1.6,187.07,INR,251,2026-08-18T10:00:00+05:30
ptm_6c993b4d,poi_afcb7beb,poi_cd4eb948,walk,53,3.942,0,0.00,INR,75,2026-08-18T10:00:00+05:30
ptm_8ff88211,poi_afcb7beb,poi_cd4eb948,cab,17,3.942,0.674,95.01,INR,75,2026-08-18T10:00:00+05:30
ptm_03af31af,poi_afcb7beb,poi_443a14c5,cab,20,4.931,0.843,111.83,INR,29,2026-08-18T10:00:00+05:30
ptm_0f46000d,poi_afcb7beb,poi_364cac5a,cab,19,4.721,0.807,108.26,INR,117,2026-08-18T10:00:00+05:30
ptm_b96c639b,poi_afcb7beb,poi_5252b3dc,cab,47,13.316,2.277,254.37,INR,322,2026-08-18T10:00:00+05:30
ptm_0da4d232,poi_bf6716e9,poi_7f6561ec,cab,41,11.499,1.966,223.48,INR,126,2026-08-18T10:00:00+05:30
ptm_83d75457,poi_bf6716e9,poi_afcb7beb,cab,47,13.46,2.302,256.82,INR,128,2026-08-18T10:00:00+05:30
ptm_2c59872f,poi_bf6716e9,poi_e68abae6,cab,27,7.267,1.243,151.53,INR,151,2026-08-18T10:00:00+05:30
ptm_5585c952,poi_bf6716e9,poi_fe8a867b,cab,20,4.903,0.838,111.35,INR,132,2026-08-18T10:00:00+05:30
ptm_061a7e10,poi_bf6716e9,poi_c192ae9d,cab,40,11.354,1.942,221.02,INR,171,2026-08-18T10:00:00+05:30
ptm_efc692a3,poi_bf6716e9,poi_cd4eb948,cab,56,16.172,2.765,302.92,INR,116,2026-08-18T10:00:00+05:30
