image_id,city_id,kind,file_path,source_text_truth,source_language,reference_translation,target_language,script,difficulty,dataset_split,is_safety_critical,updated_at
sgn_cc242f63,cty_a5f16904,menu,media/signs/menu/000.jpg,"இட்லி - ₹40
தோசை - ₹60
பொங்கல் - ₹70",ta,"Idli - ₹40
Dosa - ₹60
Pongal - ₹70",en-IN,Taml,easy,eval,0,2026-08-18T10:00:00+05:30
sgn_a8ea2fa5,cty_51a149b7,warning,media/signs/warning/001.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,hard,train,1,2026-08-18T10:00:00+05:30
sgn_324b396e,cty_10cbee86,notice,media/signs/notice/002.jpg,ചെരുപ്പ് പുറത്ത് വയ്ക്കുക,ml,Please leave footwear outside,en-IN,Mlym,hard,train,0,2026-08-18T10:00:00+05:30
sgn_4a82b2de,cty_0b7f5985,warning,media/signs/warning/003.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,easy,train,1,2026-08-18T10:00:00+05:30
sgn_065d2a0d,cty_c0f2d9de,warning,media/signs/warning/004.jpg,गहरा पानी – तैरना मना है,hi,Deep water – swimming prohibited,en-IN,Deva,medium,eval,1,2026-08-18T10:00:00+05:30
sgn_dcb48ebe,cty_5d572c8a,warning,media/signs/warning/005.jpg,गहरा पानी – तैरना मना है,hi,Deep water – swimming prohibited,en-IN,Deva,medium,train,1,2026-08-18T10:00:00+05:30
sgn_29ad03f4,cty_d35a9652,menu,media/signs/menu/006.jpg,"मिसळ पाव - ₹70
साबुदाणा खिचडी - ₹90",mr,"Misal pav - ₹70
Sabudana khichdi - ₹90",en-IN,Deva,easy,train,0,2026-08-18T10:00:00+05:30
sgn_c393619e,cty_9aa02925,menu,media/signs/menu/007.jpg,"आलू पराठा - ₹80
छोले भटूरे - ₹120",hi,"Aloo paratha - ₹80
Chole bhature - ₹120",en-IN,Deva,medium,train,0,2026-08-18T10:00:00+05:30
sgn_181f80c7,cty_b43cdd57,warning,media/signs/warning/008.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,medium,eval,1,2026-08-18T10:00:00+05:30
sgn_cb78f290,cty_6320eea9,warning,media/signs/warning/009.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,medium,train,1,2026-08-18T10:00:00+05:30
sgn_2230c637,cty_c43cfa94,notice,media/signs/notice/010.jpg,ചെരുപ്പ് പുറത്ത് വയ്ക്കുക,ml,Please leave footwear outside,en-IN,Mlym,easy,train,0,2026-08-18T10:00:00+05:30
sgn_5fbea10b,cty_c9f34ba7,menu,media/signs/menu/011.jpg,"मिसळ पाव - ₹70
साबुदाणा खिचडी - ₹90",mr,"Misal pav - ₹70
Sabudana khichdi - ₹90",en-IN,Deva,easy,train,0,2026-08-18T10:00:00+05:30
sgn_96c13c1f,cty_ccb4fb74,warning,media/signs/warning/012.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,hard,eval,1,2026-08-18T10:00:00+05:30
sgn_b1fd0844,cty_8b6b1652,street_sign,media/signs/street_sign/013.jpg,ప్రవేశం ఉచితం,te,Entry free,en-IN,Telu,easy,train,0,2026-08-18T10:00:00+05:30
sgn_df40aa17,cty_32e8e65c,warning,media/signs/warning/014.jpg,ಎಚ್ಚರಿಕೆ – ಜಾರುವ ನೆಲ,kn,Caution – slippery floor,en-IN,Knda,medium,train,1,2026-08-18T10:00:00+05:30
sgn_9cdd357f,cty_5d572c8a,warning,media/signs/warning/015.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,hard,train,1,2026-08-18T10:00:00+05:30
sgn_de9000be,cty_6320eea9,street_sign,media/signs/street_sign/016.jpg,ప్రవేశం ఉచితం,te,Entry free,en-IN,Telu,hard,eval,0,2026-08-18T10:00:00+05:30
sgn_a0768ef7,cty_95d040d8,warning,media/signs/warning/017.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,easy,train,1,2026-08-18T10:00:00+05:30
sgn_165e81a9,cty_541018a9,transit_board,media/signs/transit_board/018.jpg,প্ল্যাটফর্ম ৩ – হাওড়া লোকাল,bn,Platform 3 – Howrah local,en-IN,Beng,hard,train,0,2026-08-18T10:00:00+05:30
sgn_7bb9f644,cty_8b6b1652,warning,media/signs/warning/019.jpg,गहरा पानी – तैरना मना है,hi,Deep water – swimming prohibited,en-IN,Deva,medium,train,1,2026-08-18T10:00:00+05:30
sgn_4f7ba8da,cty_c0f2d9de,menu,media/signs/menu/020.jpg,"मिसळ पाव - ₹70
साबुदाणा खिचडी - ₹90",mr,"Misal pav - ₹70
Sabudana khichdi - ₹90",en-IN,Deva,easy,eval,0,2026-08-18T10:00:00+05:30
sgn_0e2dace0,cty_43d0a650,transit_board,media/signs/transit_board/021.jpg,প্ল্যাটফর্ম ৩ – হাওড়া লোকাল,bn,Platform 3 – Howrah local,en-IN,Beng,hard,train,0,2026-08-18T10:00:00+05:30
sgn_990443b7,cty_7fc82336,menu,media/signs/menu/022.jpg,"आलू पराठा - ₹80
छोले भटूरे - ₹120",hi,"Aloo paratha - ₹80
Chole bhature - ₹120",en-IN,Deva,hard,train,0,2026-08-18T10:00:00+05:30
sgn_2f5aa66b,cty_f288c6a0,warning,media/signs/warning/023.jpg,ਖ਼ਤਰਾ – ਉੱਚ ਵੋਲਟੇਜ,pa,Danger – high voltage,en-IN,Guru,hard,train,1,2026-08-18T10:00:00+05:30
sgn_50aad1a4,cty_f288c6a0,menu,media/signs/menu/024.jpg,"आलू पराठा - ₹80
छोले भटूरे - ₹120",hi,"Aloo paratha - ₹80
Chole bhature - ₹120",en-IN,Deva,medium,eval,0,2026-08-18T10:00:00+05:30
sgn_513f320b,cty_d401ef6b,street_sign,media/signs/street_sign/025.jpg,நுழைவு தடை,ta,No entry,en-IN,Taml,easy,train,0,2026-08-18T10:00:00+05:30
sgn_e1d1dcf9,cty_ab50efee,street_sign,media/signs/street_sign/026.jpg,ప్రవేశం ఉచితం,te,Entry free,en-IN,Telu,medium,train,0,2026-08-18T10:00:00+05:30
sgn_8436da1e,cty_0b7f5985,warning,media/signs/warning/027.jpg,गहरा पानी – तैरना मना है,hi,Deep water – swimming prohibited,en-IN,Deva,medium,train,1,2026-08-18T10:00:00+05:30
sgn_5014ea15,cty_541018a9,notice,media/signs/notice/028.jpg,ചെരുപ്പ് പുറത്ത് വയ്ക്കുക,ml,Please leave footwear outside,en-IN,Mlym,medium,eval,0,2026-08-18T10:00:00+05:30
sgn_bb60618f,cty_43d0a650,transit_board,media/signs/transit_board/029.jpg,প্ল্যাটফর্ম ৩ – হাওড়া লোকাল,bn,Platform 3 – Howrah local,en-IN,Beng,hard,train,0,2026-08-18T10:00:00+05:30
sgn_5721e000,cty_bbb31d67,warning,media/signs/warning/030.jpg,ಎಚ್ಚರಿಕೆ – ಜಾರುವ ನೆಲ,kn,Caution – slippery floor,en-IN,Knda,easy,train,1,2026-08-18T10:00:00+05:30
sgn_5473bec0,cty_34bbfdfe,warning,media/signs/warning/031.jpg,गहरा पानी – तैरना मना है,hi,Deep water – swimming prohibited,en-IN,Deva,hard,train,1,2026-08-18T10:00:00+05:30
sgn_b02b87d1,cty_67ee7f6f,transit_board,media/signs/transit_board/032.jpg,প্ল্যাটফর্ম ৩ – হাওড়া লোকাল,bn,Platform 3 – Howrah local,en-IN,Beng,easy,eval,0,2026-08-18T10:00:00+05:30
